task_key,min_memory_mb,max_memory_mb
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 44, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 45, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 46, 0)",0,0
"('getitem-percentile-percentile_chunk-concatenate-80db5d179e75f376f0f7f1bdd19f128c', 27, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 23, 0)",384.3984375,384.3984375
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 24, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 25, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 26, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 27, 0)",0,0
"('array-7308ffe7fad194f8e423ac6c564a9774', 0)",323.87109375,323.87109375
"('array-18a46769ae79220bbdc48e1e453bb348', 0)",255.97265625,256.22265625
"('array-6cd22210448a458e66bdf906e6a3013b', 0)",304.20703125,304.20703125
"('array-1e2cbb83d4f0b827f91f3eb4e883f675', 0)",331.08203125,331.08203125
list-80821142-6bd6-4f46-8c5d-18e5ce2d48b1,384.3984375,384.3984375
