task_key,min_memory_mb,max_memory_mb
"('getitem-percentile-percentile_chunk-concatenate-80db5d179e75f376f0f7f1bdd19f128c', 27, 0)",0,0
"('getitem-percentile-percentile_chunk-concatenate-80db5d179e75f376f0f7f1bdd19f128c', 11, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 0, 0)",0,0
"('getitem-percentile-percentile_chunk-concatenate-80db5d179e75f376f0f7f1bdd19f128c', 16, 0)",268.50390625,268.50390625
"('getitem-percentile-percentile_chunk-concatenate-80db5d179e75f376f0f7f1bdd19f128c', 37, 0)",0,0
"('getitem-percentile-percentile_chunk-concatenate-80db5d179e75f376f0f7f1bdd19f128c', 39, 0)",0,0
"('getitem-percentile-percentile_chunk-concatenate-80db5d179e75f376f0f7f1bdd19f128c', 51, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 52, 0)",0,0
"('getitem-percentile-percentile_chunk-concatenate-80db5d179e75f376f0f7f1bdd19f128c', 46, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 42, 0)",0,0
"('getitem-percentile-percentile_chunk-concatenate-80db5d179e75f376f0f7f1bdd19f128c', 12, 0)",0,0
"('getitem-percentile-percentile_chunk-concatenate-80db5d179e75f376f0f7f1bdd19f128c', 13, 0)",0,0
"('getitem-percentile-percentile_chunk-concatenate-80db5d179e75f376f0f7f1bdd19f128c', 14, 0)",0,0
"('getitem-percentile-percentile_chunk-concatenate-80db5d179e75f376f0f7f1bdd19f128c', 15, 0)",0,0
"('getitem-percentile-percentile_chunk-concatenate-80db5d179e75f376f0f7f1bdd19f128c', 17, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 38, 0)",0,0
"('getitem-percentile-percentile_chunk-concatenate-80db5d179e75f376f0f7f1bdd19f128c', 4, 0)",0,0
"('getitem-percentile-percentile_chunk-concatenate-80db5d179e75f376f0f7f1bdd19f128c', 58, 0)",328.046875,475.98046875
"('getitem-percentile-percentile_chunk-concatenate-80db5d179e75f376f0f7f1bdd19f128c', 6, 0)",0,0
"('getitem-percentile-percentile_chunk-concatenate-80db5d179e75f376f0f7f1bdd19f128c', 60, 0)",0,0
